file,C,kstd,kmean,edge_density,average_shortest_path_length,avg_betweenness_centrality,average_edge_weight
Rb_M_I_Fc-H_N_20d_1.txt,0.07942973523421588,1.6275882197678044,2.2569832402234637,0.01267968112485092,0.0,0.07207634130966563,4255.600195049503
Pv_M_I+4R_U_N_39d_3.txt,0.061126005361930295,1.2494318839292022,2.2337962962962963,0.0025884082228230547,0.007652842957392263,0.027277683580571,0.0004108808290155416
Rb_M_I_U_N_18d_2.txt,0.06933333333333333,1.99979166495282,2.423841059602649,0.00805262810499219,22159.38739942343,0.05673817043326087,3140.542753005464
Pv_L_I+4xR_U_N_57d_1.txt,0.07426915986304977,0.9967516338771716,2.64140350877193,0.0018549181943623102,0.0,0.029337447695363547,0.006161477151966004
Pv_M_I_U_N_31d_1.txt,0.04114906832298137,1.1753263487849648,2.202294056308655,0.0011488231905626787,0.016256620882344905,0.02642103987052262,0.0004146780303030191
Rb_M_I_U_N_26d_3.txt,0.06737367436057393,1.5573667933650295,2.593047034764826,0.005313620972878742,12902.874576400289,0.05048967318515755,1937.345304731863
Pp_M_Tokyo_U_N_26h_1.txt,0.15410273515677117,0.7627184231226349,3.1386861313868613,0.007655332027772833,77184.02137839944,0.043709561321654065,10535.505871007752
Pv_M_I+4R_U_N_36d_2.txt,0.06655574043261231,1.2002445357184555,2.3688311688311687,0.003080404640872781,0.05525964534814748,0.040665027732308484,0.0036741228070175337
Pv_M_I_U_N_27d_1.txt,0.03704743193937693,1.1694420961496175,2.1908482142857144,0.0012232541676637154,0.014604819484307774,0.021163546515408325,0.0003671930718288237
Pv_L_I+4xR_U_N_36d_4.txt,0.0870712401055409,1.1608790908036801,2.5016835016835017,0.002107568240676918,0.0,0.04134574534300105,0.006446635262449528
Pv_L_I+4xR_U_N_208d_2.txt,0.05934065934065934,1.0903087638569327,2.2127659574468086,0.009456264775413711,0.0,0.05658367481219023,0.007081538461538459
Pv_M_I_U_Hf_26d_2.txt,0.09111253196930946,1.3894941189555747,2.7504043126684636,0.0014834974717737128,0.11290229979907625,0.021625017001725016,0.008934770678165418
Pv_M_I_U_N_18d_7.txt,0.0693950177935943,1.3857652465763186,2.4056603773584904,0.005687140372005888,0.10141886457915168,0.0466431362602652,0.00818392156862744
Pv_M_I_Fc_Hf_26d_1.txt,0.08324954755680676,1.6687943561848317,2.5603271983640083,0.0017464714859236072,0.10897947524018024,268550712.2253895,0.008798296059637927
Rb_M_I_Fc-L_N_20d_3.txt,0.09450945094509451,1.503858243907515,2.5738636363636362,0.007332944832944833,37136.297633888054,0.057358794617677865,4662.3812476821195
Pv_M_I_U_N_15d_2.txt,0.04607508532423208,1.339693841726228,2.251968503937008,0.00890106128038343,0.004994774516821804,0.06683288240285055,0.0003671328671328682
Pv_M_I_U_N_19d_2.txt,0.053069719042663895,1.234587639283459,2.2477477477477477,0.0050739226811461575,0.005050543997722214,0.040280949733300694,0.00033747494989979905
Pv_M_5xI_U_N_25d_1.txt,0.06786850477200425,1.2364179891479703,2.4623753399818678,0.0022344603811087728,0.03346089743695321,0.02618481427908851,0.002510309278350553
Pv_M_I_U_N_21d_2.txt,0.05509181969949917,1.2064406470403195,2.2229965156794425,0.0038795750709937913,0.00550659770995789,0.03903179025898773,0.0003188087774294659
Pv_M_I_Fc_Hf_18d_2.txt,0.09423347398030943,1.4367710326826604,2.650566037735849,0.0020019380949666534,0.18613955469417828,0.022584772611234566,0.014564635535307553
Rb_M_I_Fc-M_N_31d_2.txt,0.09125475285171103,1.4510858256884627,1.8985507246376812,0.006903820816864295,0.0,0.0229059405019566,1334.3325129770985
Sc_M_I_U_N_42d_1.txt,0.08066581306017925,1.3378153625625286,2.5708955223880596,0.0048054121913795505,0.9921940403124676,0.03839205877954172,0.11330391872278674
Pv_L_I+4xR_U_N_99d_1.txt,0.08853514576998749,1.060103704442198,2.771721532649757,0.0014966098988389617,0.0,0.02665345011106095,0.006687772585669783
Pv_M_I_U_N_18d_5.txt,0.11475409836065574,1.3875997598656356,2.747320061255743,0.004213681075545618,0.09252068320822182,0.032135308979691586,0.008643366778149381
